business_count,total_employees,total_revenue,avg_business_age,strategic_score,innovation_score,critical_mass,supply_chain_completeness,geographic_density,workforce_diversity,natural_community_score,cluster_synergy,market_position,gdp_impact,job_creation,roi_percentage
47.673336089482156,7707.655579163898,2714685047.022024,26.000770357067246,61.8083820813716,57.34318690453133,55.91495392855913,0.8467119189476742,0.5337524392730197,0.5924566455978417,0.6096998191341948,71.16749693902958,72.41939934250898,5239042662.640508,17125,21.41057825877487
46.919964896072074,4694.317846098098,1214502263.821493,7.462455439222602,87.26301601536065,91.22135012530444,88.78700243391089,0.6681348996165587,0.8009316518957446,0.7015930775412065,0.8255415686415817,79.34336970198318,67.60966973536217,2652242040.8609853,12115,27.49835654518394
38.29098114978451,9908.944597817228,2907254997.156969,18.623748694994738,79.68744236277523,64.34917049366835,75.25250001906437,0.9144266269243371,0.5940970660114998,0.5396254000970757,0.7722569026465682,75.50739197703615,74.75194071696573,6098536015.430573,24055,26.18199574932428
55.08853836291477,9437.061098922604,2581238269.4692974,14.712277180992988,65.56241401595199,57.61768793130077,62.23363769782129,0.8098665560371554,0.7250081736152237,0.5594370075715942,0.6928976199252659,68.61339865272897,76.15874523703869,5135368246.33732,21748,23.018714312303814
16.477352199975282,2053.6726933558434,557072543.0481455,12.378588465295627,90.82936870956848,90.64712206995834,80.94371765878718,0.8290899885597647,0.7610713597729897,0.8353384207416765,0.643148545676736,86.02269638033472,74.07659500705851,1211103061.988072,5333,28.162717932603545
68.31612776186559,10193.528262355023,1851434849.0935102,11.948102853457188,75.24563897509938,59.56216504477292,52.42678327289125,0.6798072121549193,0.7253357147491699,0.5997536020865376,0.5756978623027795,52.55812824379599,56.862192634033214,3631759002.305604,23658,24.217108968530326
43.81185344558469,10593.902171386264,2664259230.2729487,11.907469885215026,75.63868523415375,57.59841534184335,64.03738520427324,0.8988320406630966,0.6238996356057207,0.6735372567892752,0.864784040158634,80.48843500171226,72.52566988797753,5376362553.123445,24929,24.950084202751796
63.52076737059447,6290.126429204328,2568936031.103501,11.019805789130853,73.51559228217623,89.06331829155089,92.40612528196081,0.6670645305073762,0.816142776219782,0.8585271557275228,0.7533119348988201,84.59740078784189,75.38132012600292,5581212950.586705,16195,25.111944271911216
60.38280749881325,13270.190353334114,3376345572.356967,25.1003224695868,64.43280128736333,68.55821683297224,59.997656535571764,0.8589418571127476,0.4915934672999746,0.6440816235400526,0.635193029071949,64.44847350186103,66.1883661253773,6604855590.816365,30239,21.864910820552836
61.706685598118526,5935.1108419480925,1310796262.2624984,12.117800855387724,81.16577655660474,60.306777607480065,54.186659450441184,0.5172812165118278,0.7789381503580409,0.8336846989174034,0.6498568246750626,63.93490138219457,61.99475357040317,2650102080.0520105,14120,26.096873613752336
73.38881058258197,14181.604710412605,4135737085.928793,21.27849312188645,77.38943082169142,56.66487312909971,65.79333870833993,0.7868496985523393,0.5983870324802426,0.5116480204103785,0.8427304622287966,67.44034257836307,71.28671165746776,8399987033.904746,33741,25.466588734318428
